*** Python 3.12.1 (tags/v3.12.1:2305ca5, Dec  7 2023, 22:03:25) [MSC v.1937 64 bit (AMD64)] on win32. ***
*** Remote Python engine is active ***
>>> 
*** Remote Interpreter Reinitialized ***

Node 1 - Powered Nodes:
  Angle (0-15) - Nodes powered: []
  Angle (1-16) - Nodes powered: []
  Angle (2-17) - Nodes powered: []
  Angle (3-18) - Nodes powered: []
  Angle (4-19) - Nodes powered: []
  Angle (5-20) - Nodes powered: []
  Angle (6-21) - Nodes powered: []
  Angle (7-22) - Nodes powered: []
  Angle (8-23) - Nodes powered: []
  Angle (9-24) - Nodes powered: []
  Angle (10-25) - Nodes powered: []
  Angle (11-26) - Nodes powered: []
  Angle (12-27) - Nodes powered: []
  Angle (13-28) - Nodes powered: []
  Angle (14-29) - Nodes powered: []
  Angle (15-30) - Nodes powered: []
  Angle (16-31) - Nodes powered: []
  Angle (17-32) - Nodes powered: []
  Angle (18-33) - Nodes powered: []
  Angle (19-34) - Nodes powered: []
  Angle (20-35) - Nodes powered: []
  Angle (21-36) - Nodes powered: []
  Angle (22-37) - Nodes powered: []
  Angle (23-38) - Nodes powered: []
  Angle (24-39) - Nodes powered: []
  Angle (25-40) - Nodes powered: []
  Angle (26-41) - Nodes powered: []
  Angle (27-42) - Nodes powered: []
  Angle (28-43) - Nodes powered: []
  Angle (29-44) - Nodes powered: []
  Angle (30-45) - Nodes powered: []
  Angle (31-46) - Nodes powered: []
  Angle (32-47) - Nodes powered: []
  Angle (33-48) - Nodes powered: []
  Angle (34-49) - Nodes powered: []
  Angle (35-50) - Nodes powered: []
  Angle (36-51) - Nodes powered: []
  Angle (37-52) - Nodes powered: []
  Angle (38-53) - Nodes powered: []
  Angle (39-54) - Nodes powered: []
  Angle (40-55) - Nodes powered: []
  Angle (41-56) - Nodes powered: []
  Angle (42-57) - Nodes powered: []
  Angle (43-58) - Nodes powered: []
  Angle (44-59) - Nodes powered: []
  Angle (45-60) - Nodes powered: []
  Angle (46-61) - Nodes powered: []
  Angle (47-62) - Nodes powered: []
  Angle (48-63) - Nodes powered: []
  Angle (49-64) - Nodes powered: []
  Angle (50-65) - Nodes powered: []
  Angle (51-66) - Nodes powered: []
  Angle (52-67) - Nodes powered: []
  Angle (53-68) - Nodes powered: []
  Angle (54-69) - Nodes powered: []
  Angle (55-70) - Nodes powered: []
  Angle (56-71) - Nodes powered: []
  Angle (57-72) - Nodes powered: []
  Angle (58-73) - Nodes powered: []
  Angle (59-74) - Nodes powered: []
  Angle (60-75) - Nodes powered: []
  Angle (61-76) - Nodes powered: []
  Angle (62-77) - Nodes powered: []
  Angle (63-78) - Nodes powered: []
  Angle (64-79) - Nodes powered: []
  Angle (65-80) - Nodes powered: []
  Angle (66-81) - Nodes powered: []
  Angle (67-82) - Nodes powered: []
  Angle (68-83) - Nodes powered: []
  Angle (69-84) - Nodes powered: []
  Angle (70-85) - Nodes powered: []
  Angle (71-86) - Nodes powered: []
  Angle (72-87) - Nodes powered: []
  Angle (73-88) - Nodes powered: []
  Angle (74-89) - Nodes powered: []
  Angle (75-90) - Nodes powered: []
  Angle (76-91) - Nodes powered: []
  Angle (77-92) - Nodes powered: []
  Angle (78-93) - Nodes powered: []
  Angle (79-94) - Nodes powered: []
  Angle (80-95) - Nodes powered: []
  Angle (81-96) - Nodes powered: []
  Angle (82-97) - Nodes powered: []
  Angle (83-98) - Nodes powered: []
  Angle (84-99) - Nodes powered: []
  Angle (85-100) - Nodes powered: []
  Angle (86-101) - Nodes powered: []
  Angle (87-102) - Nodes powered: []
  Angle (88-103) - Nodes powered: []
  Angle (89-104) - Nodes powered: []
  Angle (90-105) - Nodes powered: []
  Angle (91-106) - Nodes powered: []
  Angle (92-107) - Nodes powered: []
  Angle (93-108) - Nodes powered: []
  Angle (94-109) - Nodes powered: []
  Angle (95-110) - Nodes powered: []
  Angle (96-111) - Nodes powered: []
  Angle (97-112) - Nodes powered: []
  Angle (98-113) - Nodes powered: []
  Angle (99-114) - Nodes powered: []
  Angle (100-115) - Nodes powered: []
  Angle (101-116) - Nodes powered: []
  Angle (102-117) - Nodes powered: []
  Angle (103-118) - Nodes powered: []
  Angle (104-119) - Nodes powered: []
  Angle (105-120) - Nodes powered: []
  Angle (106-121) - Nodes powered: []
  Angle (107-122) - Nodes powered: []
  Angle (108-123) - Nodes powered: []
  Angle (109-124) - Nodes powered: []
  Angle (110-125) - Nodes powered: []
  Angle (111-126) - Nodes powered: []
  Angle (112-127) - Nodes powered: []
  Angle (113-128) - Nodes powered: []
  Angle (114-129) - Nodes powered: []
  Angle (115-130) - Nodes powered: []
  Angle (116-131) - Nodes powered: []
  Angle (117-132) - Nodes powered: []
  Angle (118-133) - Nodes powered: []
  Angle (119-134) - Nodes powered: []
  Angle (120-135) - Nodes powered: []
  Angle (121-136) - Nodes powered: []
  Angle (122-137) - Nodes powered: []
  Angle (123-138) - Nodes powered: []
  Angle (124-139) - Nodes powered: []
  Angle (125-140) - Nodes powered: []
  Angle (126-141) - Nodes powered: []
  Angle (127-142) - Nodes powered: []
  Angle (128-143) - Nodes powered: []
  Angle (129-144) - Nodes powered: []
  Angle (130-145) - Nodes powered: []
  Angle (131-146) - Nodes powered: []
  Angle (132-147) - Nodes powered: []
  Angle (133-148) - Nodes powered: []
  Angle (134-149) - Nodes powered: []
  Angle (135-150) - Nodes powered: []
  Angle (136-151) - Nodes powered: []
  Angle (137-152) - Nodes powered: []
  Angle (138-153) - Nodes powered: []
  Angle (139-154) - Nodes powered: []
  Angle (140-155) - Nodes powered: []
  Angle (141-156) - Nodes powered: []
  Angle (142-157) - Nodes powered: []
  Angle (143-158) - Nodes powered: []
  Angle (144-159) - Nodes powered: []
  Angle (145-160) - Nodes powered: []
  Angle (146-161) - Nodes powered: []
  Angle (147-162) - Nodes powered: []
  Angle (148-163) - Nodes powered: []
  Angle (149-164) - Nodes powered: []
  Angle (150-165) - Nodes powered: []
  Angle (151-166) - Nodes powered: []
